#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1025	vanilla_PRS_1e-5	bin	PRS_and_covars	6.732032e-01	gallbladder/bile_duct_cancer	203
cancer1026	vanilla_PRS_1e-3	bin	covars	6.600990e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-3	bin	PRS	5.194921e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-3	bin	PRS_and_covars	6.596653e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-4	bin	covars	6.600990e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-4	bin	PRS	5.312573e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-4	bin	PRS_and_covars	6.696975e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-5	bin	covars	6.600990e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-5	bin	PRS	5.273811e-01	pancreas_cancer	593
cancer1026	vanilla_PRS_1e-5	bin	PRS_and_covars	6.623662e-01	pancreas_cancer	593
cancer1029	vanilla_PRS_1e-3	bin	covars	7.683698e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-3	bin	PRS	6.467468e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-3	bin	PRS_and_covars	7.684355e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-4	bin	covars	7.683698e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-4	bin	PRS	6.444439e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-4	bin	PRS_and_covars	7.687851e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-5	bin	covars	7.683698e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-5	bin	PRS	5.469055e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1029	vanilla_PRS_1e-5	bin	PRS_and_covars	7.684652e-01	peripheral_nerve/autonomic_nerve_cancer	37
cancer1030	vanilla_PRS_1e-3	bin	covars	6.462267e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-3	bin	PRS	5.649091e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-3	bin	PRS_and_covars	6.455473e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-4	bin	covars	6.462267e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-4	bin	PRS	5.019430e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-4	bin	PRS_and_covars	6.462740e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-5	bin	covars	6.462267e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-5	bin	PRS	5.039920e-01	eye_and/or_adnexal_cancer	213
cancer1030	vanilla_PRS_1e-5	bin	PRS_and_covars	6.463178e-01	eye_and/or_adnexal_cancer	213
cancer1031	vanilla_PRS_1e-3	bin	covars	7.425313e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-3	bin	PRS	6.359336e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-3	bin	PRS_and_covars	7.425692e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-4	bin	covars	7.425313e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-4	bin	PRS	6.590950e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-4	bin	PRS_and_covars	7.428197e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-5	bin	covars	7.425313e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-5	bin	PRS	5.712583e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1031	vanilla_PRS_1e-5	bin	PRS_and_covars	7.428329e-01	meningeal_cancer_/_malignant_meningioma	46
cancer1032	vanilla_PRS_1e-3	bin	covars	6.224914e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-3	bin	PRS	5.337942e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-3	bin	PRS_and_covars	6.225397e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-4	bin	covars	6.224914e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-4	bin	PRS	5.200643e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-4	bin	PRS_and_covars	6.225201e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-5	bin	covars	6.224914e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-5	bin	PRS	5.259532e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1032	vanilla_PRS_1e-5	bin	PRS_and_covars	6.225153e-01	brain_cancer_/_primary_malignant_brain_tumour	555
cancer1033	vanilla_PRS_1e-3	bin	covars	7.353205e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-3	bin	PRS	5.488832e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-3	bin	PRS_and_covars	7.352072e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-4	bin	covars	7.353205e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-4	bin	PRS	5.570927e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-4	bin	PRS_and_covars	7.352369e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-5	bin	covars	7.353205e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-5	bin	PRS	5.236350e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1033	vanilla_PRS_1e-5	bin	PRS_and_covars	7.353663e-01	spinal_cord_or_cranial_nerve_cancer	59
cancer1034	vanilla_PRS_1e-3	bin	covars	6.996255e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-3	bin	PRS	5.415811e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-3	bin	PRS_and_covars	6.996326e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-4	bin	covars	6.996255e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-4	bin	PRS	5.516759e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-4	bin	PRS_and_covars	6.993988e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-5	bin	covars	6.996255e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-5	bin	PRS	5.210108e-01	kidney/renal_cell_cancer	1093
cancer1034	vanilla_PRS_1e-5	bin	PRS_and_covars	6.995926e-01	kidney/renal_cell_cancer	1093
cancer1035	vanilla_PRS_1e-3	bin	covars	7.513329e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-3	bin	PRS	5.050326e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-3	bin	PRS_and_covars	7.513952e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-4	bin	covars	7.513329e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-4	bin	PRS	5.242411e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-4	bin	PRS_and_covars	7.512903e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-5	bin	covars	7.513329e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-5	bin	PRS	5.356887e-01	bladder_cancer	1997
cancer1035	vanilla_PRS_1e-5	bin	PRS_and_covars	7.510206e-01	bladder_cancer	1997
cancer1036	vanilla_PRS_1e-3	bin	covars	7.729846e-01	other_cancer_of_urinary_tract	74
cancer1036	vanilla_PRS_1e-3	bin	PRS	5.824479e-01	other_cancer_of_urinary_tract	74
cancer1036	vanilla_PRS_1e-3	bin	PRS_and_covars	7.729814e-01	other_cancer_of_urinary_tract	74
cancer1036	vanilla_PRS_1e-4	bin	covars	7.729846e-01	other_cancer_of_urinary_tract	74
cancer1036	vanilla_PRS_1e-4	bin	PRS	5.115839e-01	other_cancer_of_urinary_tract	74
cancer1036	vanilla_PRS_1e-4	bin	PRS_and_covars	7.733565e-01	other_cancer_of_urinary_tract	74
cancer1036	vanilla_PRS_1e-5	bin	covars	7.729846e-01	other_cancer_of_urinary_tract	74
cancer1036	vanilla_PRS_1e-5	bin	PRS	6.380051e-01	other_cancer_of_urinary_tract	74
