#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name
INI30730	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.634213e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.941132e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.811613e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.620946e-01	Gamma.glutamyltransferase
INI30730	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.912771e-01	Gamma.glutamyltransferase
INI30740	clumped_snpnet_PRS_1e-3	qt	Covariates_only	2.779020e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	3.192660e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-3	qt	Genotype_only	2.697411e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-4	qt	Covariates_only	2.818399e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	4.536575e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-4	qt	Genotype_only	3.871888e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-5	qt	Covariates_only	2.809746e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	5.337012e-02	Glucose
INI30740	clumped_snpnet_PRS_1e-5	qt	Genotype_only	4.619601e-02	Glucose
INI30750	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.335357e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	2.350283e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.958887e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.335583e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.425771e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-4	qt	Genotype_only	2.028239e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.335655e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	2.432530e-01	Glycated.haemoglobin..HbA1c.
INI30750	clumped_snpnet_PRS_1e-5	qt	Genotype_only	2.033840e-01	Glycated.haemoglobin..HbA1c.
INI30760	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.582982e-01	HDL.cholesterol
INI30760	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.667945e-01	HDL.cholesterol
INI30760	clumped_snpnet_PRS_1e-3	qt	Genotype_only	7.974083e-02	HDL.cholesterol
INI30760	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.584414e-01	HDL.cholesterol
INI30760	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.752662e-01	HDL.cholesterol
INI30760	clumped_snpnet_PRS_1e-4	qt	Genotype_only	8.240493e-02	HDL.cholesterol
INI30760	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.584703e-01	HDL.cholesterol
INI30760	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.784435e-01	HDL.cholesterol
