#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
african	RheumatoidFactorNormal	snpnet	bin	Genotype_and_covariates	5.637643e-01
african	RheumatoidFactorNormal	snpnet	bin	Genotype_only	5.035658e-01
african	SHBG	snpnet	qt	Covariates_only	3.097281e-01
african	SHBG	snpnet	qt	Genotype_and_covariates	3.414520e-01
african	SHBG	snpnet	qt	Genotype_only	1.468401e-01
african	SHBG_adjstatins	snpnet	qt	Covariates_only	3.907504e-01
african	SHBG_adjstatins	snpnet	qt	Genotype_and_covariates	4.336679e-01
african	SHBG_adjstatins	snpnet	qt	Genotype_only	1.895345e-01
african	Sodium_in_urine	snpnet	qt	Covariates_only	2.273531e-01
african	Sodium_in_urine	snpnet	qt	Genotype_and_covariates	2.280280e-01
african	Sodium_in_urine	snpnet	qt	Genotype_only	2.043740e-02
african	Testosterone	snpnet	qt	Covariates_only	8.405405e-01
african	Testosterone	snpnet	qt	Genotype_and_covariates	8.421041e-01
african	Testosterone	snpnet	qt	Genotype_only	6.749019e-02
african	Testosterone_adjstatins	snpnet	qt	Covariates_only	8.999333e-01
african	Testosterone_adjstatins	snpnet	qt	Genotype_and_covariates	9.014621e-01
african	Testosterone_adjstatins	snpnet	qt	Genotype_only	6.635169e-02
african	Total_protein	snpnet	qt	Covariates_only	8.199209e-02
african	Total_protein	snpnet	qt	Genotype_and_covariates	1.464034e-01
african	Total_protein	snpnet	qt	Genotype_only	1.224842e-01
african	Total_protein_adjstatins	snpnet	qt	Covariates_only	8.194251e-02
african	Total_protein_adjstatins	snpnet	qt	Genotype_and_covariates	1.468662e-01
african	Total_protein_adjstatins	snpnet	qt	Genotype_only	1.240680e-01
african	Triglycerides	snpnet	qt	Covariates_only	2.325265e-01
african	Triglycerides	snpnet	qt	Genotype_and_covariates	2.462332e-01
african	Triglycerides	snpnet	qt	Genotype_only	1.032361e-01
african	Triglycerides_adjstatins	snpnet	qt	Covariates_only	2.555414e-01
african	Triglycerides_adjstatins	snpnet	qt	Genotype_and_covariates	2.673174e-01
african	Triglycerides_adjstatins	snpnet	qt	Genotype_only	1.095260e-01
african	UACRNormal	snpnet	bin	Covariates_only	5.774691e-01
african	UACRNormal	snpnet	bin	Genotype_and_covariates	5.789572e-01
african	UACRNormal	snpnet	bin	Genotype_only	5.073624e-01
african	Urate	snpnet	qt	Covariates_only	4.841216e-01
african	Urate	snpnet	qt	Genotype_and_covariates	5.253576e-01
african	Urate	snpnet	qt	Genotype_only	1.956383e-01
african	Urea	snpnet	qt	Covariates_only	3.183324e-01
african	Urea	snpnet	qt	Genotype_and_covariates	3.226019e-01
african	Urea	snpnet	qt	Genotype_only	7.802463e-02
african	Urea_adjstatins	snpnet	qt	Covariates_only	3.054121e-01
african	Urea_adjstatins	snpnet	qt	Genotype_and_covariates	3.099197e-01
african	Urea_adjstatins	snpnet	qt	Genotype_only	8.054193e-02
african	Vitamin_D	snpnet	qt	Covariates_only	2.016356e-01
african	Vitamin_D	snpnet	qt	Genotype_and_covariates	1.966969e-01
african	Vitamin_D	snpnet	qt	Genotype_only	3.263573e-02
african	Vitamin_D_adjstatins	snpnet	qt	Covariates_only	1.920164e-01
african	Vitamin_D_adjstatins	snpnet	qt	Genotype_and_covariates	1.893993e-01
african	Vitamin_D_adjstatins	snpnet	qt	Genotype_only	3.704608e-02
