#GBE_ID	run_name	max_valid_idx	largest_mem
BIN_FC30020489	BIN.401-737	1	120000
BIN_FC30020491	BIN.401-737	1	120000
BIN_FC30020521	BIN.401-737	0	120000
BIN_FC30020522	BIN.401-737	0	120000
BIN_FC30020524	BIN.401-737	0	120000
BIN_FC30020525	BIN.401-737	0	120000
BIN_FC30020526	BIN.401-737	1	120000
BIN_FC30020528	BIN.401-737	0	120000
BIN_FC30020529	BIN.401-737	0	120000
BIN_FC30020531	BIN.401-737	0	120000
BIN_FC30020544	BIN.401-737	0	120000
BIN_FC30020547	BIN.401-737	0	120000
BIN_FC30020549	BIN.401-737	1	120000
BIN_FC30020550	BIN.401-737	0	120000
BIN_FC30020551	BIN.401-737	0	120000
BIN_FC30021072	BIN.401-737	0	120000
BIN_FC30100920	BIN.401-737	0	120000
BIN_FC40001140	BIN.401-737	0	120000
BIN_FC40001249	BIN.401-737	36	480000
BIN_FC40001428	BIN.401-737	1	120000
BIN_FC40006156	BIN.401-737	1	120000
BIN_FC40006157	BIN.401-737	0	120000
BIN_FC40006160	BIN.401-737	0	120000
BIN_FC40006164	BIN.401-737	1	120000
BIN_FC40020487	BIN.401-737	0	120000
BIN_FC40020488	BIN.401-737	0	120000
BIN_FC40020489	BIN.401-737	2	120000
BIN_FC40020490	BIN.401-737	0	120000
BIN_FC40020491	BIN.401-737	1	120000
BIN_FC40020521	BIN.401-737	0	120000
BIN_FC40020522	BIN.401-737	0	120000
BIN_FC40020523	BIN.401-737	0	120000
BIN_FC40020546	BIN.401-737	0	120000
BIN_FC40020549	BIN.401-737	0	120000
BIN_FC40021072	BIN.401-737	0	120000
BIN_FC50001468	BIN.401-737	26	120000
BIN_FC50002654	BIN.401-737	0	120000
BIN_FC50006157	BIN.401-737	0	120000
BIN_FC50006164	BIN.401-737	0	120000
BIN_FC50020491	BIN.401-737	1	120000
BIN_FC50020521	BIN.401-737	0	120000
BIN_FC50020522	BIN.401-737	0	120000
BIN_FC50020524	BIN.401-737	0	120000
BIN_FC50020525	BIN.401-737	0	120000
BIN_FC50100920	BIN.401-737	0	120000
BIN_FC60001418	BIN.401-737	1	120000
BIN_FC60002654	BIN.401-737	0	120000
BIN_FC60006160	BIN.401-737	0	120000
BIN_FC60006164	BIN.401-737	0	120000
BIN_FC60020544	BIN.401-737	0	120000
BIN_FC80020544	BIN.401-737	0	120000
BIN_FC80100920	BIN.401-737	0	120000
BIN_FC90020544	BIN.401-737	0	120000
BIN_FC90020548	BIN.401-737	0	120000
cancer1003	cancer	41	240000
cancer1006	cancer	1	480000
cancer1017	cancer	0	480000
cancer1020	cancer	0	240000
cancer1022	cancer	0	480000
cancer1023	cancer	1	480000
cancer1026	cancer	0	240000
cancer1030	cancer	0	240000
cancer1032	cancer	0	480000
cancer1034	cancer	0	240000
cancer1039	cancer	0	240000
cancer1040	cancer	0	240000
cancer1048	cancer	0	240000
cancer1050	cancer	0	240000
cancer1052	cancer	0	240000
cancer1055	cancer	1	480000
cancer1056	cancer	0	240000
cancer1064	cancer	0	240000
cancer1077	cancer	0	240000
