#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1064	snpnet_PRS	bin	Genotype_and_covariates	7.846874e-01	mesothelioma	181
cancer1064	snpnet_PRS	bin	Genotype_only	6.113894e-01	mesothelioma	181
cancer1065	snpnet_PRS	bin	Covariates_only	6.243029e-01	thyroid_cancer	513
cancer1065	snpnet_PRS	bin	Genotype_and_covariates	6.138249e-01	thyroid_cancer	513
cancer1065	snpnet_PRS	bin	Genotype_only	5.157808e-01	thyroid_cancer	513
cancer1068	snpnet_PRS	bin	Covariates_only	5.663775e-01	sarcoma/fibrosarcoma	236
cancer1068	snpnet_PRS	bin	Genotype_and_covariates	5.663775e-01	sarcoma/fibrosarcoma	236
cancer1068	snpnet_PRS	bin	Genotype_only	5.000000e-01	sarcoma/fibrosarcoma	236
cancer1074	snpnet_PRS	bin	Covariates_only	5.714005e-01	acute_myeloid_leukaemia	288
cancer1074	snpnet_PRS	bin	Genotype_and_covariates	5.843023e-01	acute_myeloid_leukaemia	288
cancer1074	snpnet_PRS	bin	Genotype_only	5.555866e-01	acute_myeloid_leukaemia	288
cancer1077	snpnet_PRS	bin	Covariates_only	5.451167e-01	mouth_cancer	197
cancer1077	snpnet_PRS	bin	Genotype_and_covariates	5.282054e-01	mouth_cancer	197
cancer1077	snpnet_PRS	bin	Genotype_only	5.215701e-01	mouth_cancer	197
cancer1084	snpnet_PRS	bin	Covariates_only	6.845019e-01	respiratory_/_intrathoracic_cancer	2392
cancer1084	snpnet_PRS	bin	Genotype_and_covariates	6.843601e-01	respiratory_/_intrathoracic_cancer	2392
cancer1084	snpnet_PRS	bin	Genotype_only	5.197211e-01	respiratory_/_intrathoracic_cancer	2392
cancer1085	snpnet_PRS	bin	Covariates_only	6.795475e-01	bone_metastases_/_bony_secondaries	1780
cancer1085	snpnet_PRS	bin	Genotype_and_covariates	6.779866e-01	bone_metastases_/_bony_secondaries	1780
cancer1085	snpnet_PRS	bin	Genotype_only	5.050749e-01	bone_metastases_/_bony_secondaries	1780
