#GBE_ID	PTVs	PAVs	Others	PTVs_novel	PAVs_novel	Others_novel
HC98	1	0	0	1	0	0
HC99	7	8	4	7	8	4
HC100	21	64	123	21	64	123
HC101	6	4	2	6	4	2
HC102	0	0	0	0	0	0
HC103	47	128	490	47	128	488
HC104	0	0	0	0	0	0
HC105	36	153	401	36	153	401
HC106	38	117	253	38	117	252
HC107	3	4	1	3	4	1
HC109	0	0	0	0	0	0
HC110	5	5	1	5	5	1
HC112	6	5	0	6	5	0
HC113	2	1	0	2	1	0
HC114	0	0	0	0	0	0
HC115	0	0	0	0	0	0
HC116	6	7	3	6	7	3
HC117	3	1	0	3	1	0
HC118	1	0	0	1	0	0
HC119	0	0	0	0	0	0
HC121	12	14	22	12	14	22
HC122	3	1	0	3	1	0
HC123	11	30	15	11	30	15
HC124	0	0	0	0	0	0
HC125	6	8	5	6	5	2
HC126	28	47	115	28	47	115
HC127	1	0	0	1	0	0
HC128	24	94	272	24	94	272
HC129	2	0	0	2	0	0
HC130	10	6	2	10	6	2
HC131	1	0	0	1	0	0
HC132	81	462	2128	79	457	2105
HC133	27	61	104	27	61	104
HC134	1	0	0	1	0	0
HC135	17	59	123	17	59	123
HC136	0	0	0	0	0	0
HC139	0	0	0	0	0	0
HC140	26	62	157	26	62	157
HC142	8	6	6	8	6	5
HC143	0	0	0	0	0	0
HC144	13	18	13	13	18	13
HC146	3	0	0	3	0	0
HC149	4	1	0	4	1	0
HC150	2	3	0	2	3	0
HC151	19	35	36	16	33	30
HC152	8	1	3	8	1	3
HC153	4	1	0	4	1	0
HC154	0	0	0	0	0	0
HC155	71	305	1419	71	305	1418
HC156	27	68	112	26	66	100
HC157	32	77	163	32	77	163
HC158	8	6	2	8	6	2
HC160	13	38	33	13	38	33
HC161	6	6	7	6	6	7
HC162	0	0	0	0	0	0
HC163	31	46	80	31	46	80
HC164	0	0	0	0	0	0
HC165	50	164	555	50	164	550
HC166	60	291	1178	60	286	1167
HC167	5	1	0	5	1	0
HC168	1	0	0	1	0	0
HC169	17	16	17	17	15	16
HC170	7	6	2	6	0	1
HC171	7	3	2	7	2	2
HC172	1	0	0	1	0	0
HC173	8	5	7	8	5	7
HC176	13	27	31	13	27	26
HC177	6	6	8	6	6	5
HC178	2	0	0	2	0	0
HC179	21	56	95	21	56	93
HC180	0	0	0	0	0	0
HC181	3	3	0	3	3	0
HC182	0	0	0	0	0	0
HC184	3	4	5	3	4	5
HC185	10	10	5	10	10	5
HC187	24	14	23	24	14	23
HC188	63	328	884	62	316	864
HC191	0	0	0	0	0	0
HC193	0	0	0	0	0	0
HC194	44	178	659	44	178	659
HC195	33	110	350	33	110	350
HC196	49	262	1083	49	262	1082
HC197	30	75	214	30	74	214
HC198	1	1	0	1	1	0
