id,name
PGS001752,GBE_INI25529
PGS001753,GBE_INI25530
PGS001755,GBE_INI25538
PGS001756,GBE_INI25539
PGS001758,GBE_INI25541
PGS001759,GBE_INI25553
PGS001377,GBE_INI30220
PGS001373,GBE_INI2217
PGS001378,GBE_INI30160
PGS001018,GBE_BIN_FC10006160
PGS001763,GBE_INI25562
PGS001764,GBE_INI25563
PGS001766,GBE_INI25685
PGS001768,GBE_INI25694
PGS001769,GBE_INI25698
PGS001771,GBE_INI25701
PGS001772,GBE_INI23005
PGS001374,GBE_INI2897
PGS001379,GBE_INI22427
PGS001380,GBE_INI5264
PGS001394,GBE_INI20414
PGS001381,GBE_INI5256
PGS001414,GBE_INI30180
PGS001395,GBE_INI21025
PGS001382,GBE_INI5265
PGS001383,GBE_INI5257
PGS001418,GBE_INI25071
PGS001651,GBE_INI25499
PGS001384,GBE_INI21060
PGS000961,GBE_HC987
PGS000985,GBE_INI1110
PGS001005,GBE_INI134
PGS001024,GBE_HC61
PGS001044,GBE_BIN_FC2006179
PGS001063,GBE_BIN_FC10001538
PGS001085,GBE_BIN_FC10001628
PGS001104,GBE_INI23111
PGS001113,GBE_BIN_FC7006154
PGS001126,GBE_INI1498
PGS001146,GBE_INI23121
PGS001385,GBE_INI21051
PGS001168,GBE_INI23129
PGS001229,GBE_INI50
PGS001249,GBE_HC1215
PGS001386,GBE_INI21049
PGS001267,GBE_HC422
PGS001274,GBE_HC1268
PGS001284,GBE_BIN_FC10006152
PGS001303,GBE_HC872
PGS001321,GBE_BIN_FC2006148
PGS001341,GBE_HC382
PGS000939,GBE_HC310
PGS000963,GBE_HC1184
PGS000998,GBE_QT_FC1001697
PGS001043,GBE_HC55
PGS001077,GBE_INI30200
PGS001114,GBE_BIN_FC8006154
PGS001147,GBE_INI23112
PGS001227,GBE_INI48
PGS001244,GBE_BIN_FC30001727
PGS001266,GBE_BIN_FC1006152
PGS001302,GBE_HC25
PGS000923,GBE_HC639
PGS000934,GBE_HC156
PGS001199,GBE_INI30120
PGS001387,GBE_INI21058
PGS001413,GBE_INI22423
PGS001372,GBE_INI22146
PGS000930,GBE_BIN_FC3006152
PGS001137,GBE_HC302
PGS001245,GBE_BIN_FC20001727
PGS001308,GBE_HC321
PGS001333,GBE_HC1582
PGS001362,GBE_INI5096
PGS001364,GBE_INI5113
PGS001367,GBE_INI5097
PGS001376,GBE_INI21044
PGS001390,GBE_HC1084
PGS001392,GBE_FH1001
PGS001398,GBE_QT_FC1004570
PGS001401,GBE_QT_FC1004548
PGS001404,GBE_INI4124
PGS001406,GBE_INI30300
PGS001410,GBE_INI5254
PGS001411,GBE_INI5263
PGS001412,GBE_INI22420
PGS001421,GBE_INI25093
PGS001424,GBE_INI25088
PGS001427,GBE_INI25058
PGS001430,GBE_INI25075
PGS001433,GBE_INI25084
PGS001435,GBE_INI25076
PGS001436,GBE_INI25087
PGS001439,GBE_INI25069
PGS001442,GBE_INI25080
PGS001445,GBE_INI25097
PGS001448,GBE_INI25102
PGS001451,GBE_INI25366
PGS001453,GBE_INI25360
PGS001454,GBE_INI25347
PGS001457,GBE_INI25379
PGS001460,GBE_INI25380
PGS001463,GBE_INI25383
PGS001466,GBE_INI25346
PGS001469,GBE_INI25353
PGS001471,GBE_INI25344
PGS001472,GBE_INI25371
PGS001475,GBE_INI25362
PGS001478,GBE_INI25365
PGS001481,GBE_INI25374
PGS001484,GBE_INI25369
PGS001487,GBE_INI25386
PGS001488,GBE_INI25385
PGS001489,GBE_INI25384
PGS001492,GBE_INI25388
PGS001495,GBE_INI25443
PGS001498,GBE_INI25473
PGS001501,GBE_INI25469
PGS001504,GBE_INI25452
PGS001506,GBE_INI25464
PGS001507,GBE_INI25028
PGS001510,GBE_INI25033
PGS001513,GBE_INI25027
PGS001515,GBE_INI3456
PGS001519,GBE_INI4199
PGS001522,GBE_HC1213
PGS001524,GBE_INI95
PGS001526,GBE_INI22331
PGS001528,GBE_INI30250
PGS001531,GBE_INI4122
PGS001534,GBE_INI25781
PGS001537,GBE_INI25023
PGS001540,GBE_INI25010
